L,p,N,succes,weight_m,weight_v,time_m,time_v,gbu_m,gbu_v,gbo_m,gbo_v,ufu_m,ufu_v,uff_m,uff_v,mac_m,mac_v,ctd_m,ctd_v
8,0.096,96000,83246,10.10129167,2.819953849,0.000610658,0.000229717,3.469822917,1.466743075,19.08770833,4.777319859,11.12467708,4.120609304,2.756697917,3.695811968,0,0,0,0
8,0.0965,96000,82902,10.149375,2.817391171,0.00061583,0.00023506,3.4819375,1.468500732,19.17022917,4.764853294,11.19269792,4.129960426,2.7883125,3.712165261,0,0,0,0
8,0.097,96000,82494,10.18567708,2.816079965,0.000617838,0.000235301,3.496322917,1.478212397,19.24610417,4.769540109,11.24728125,4.115127087,2.842239583,3.739780834,0,0,0,0
8,0.0975,96000,82402,10.2229375,2.813897448,0.000620267,0.000235631,3.508625,1.484103762,19.29795833,4.751561756,11.28125,4.114076397,2.83496875,3.735880982,0,0,0,0
8,0.098,96000,82089,10.27602083,2.830313648,0.000623972,0.000237018,3.525145833,1.476685406,19.39566667,4.778222007,11.349875,4.140036005,2.87421875,3.765708745,0,0,0,0
8,0.0985,96000,81908,10.31853125,2.822359369,0.000626665,0.00023718,3.5284375,1.475329693,19.47252083,4.760304627,11.41557292,4.161092816,2.900614583,3.814354552,0,0,0,0
8,0.099,96000,81911,10.35502083,2.814271427,0.000627103,0.000223838,3.543041667,1.47699634,19.52790625,4.736344566,11.44173958,4.134850901,2.930052083,3.837777285,0,0,0,0
8,0.0995,96000,81581,10.41017708,2.816762267,0.000631301,0.000234919,3.540697917,1.473596263,19.62708333,4.723624805,11.52198958,4.138924043,2.9403125,3.809838186,0,0,0,0
8,0.1,96000,81335,10.46408333,2.827134869,0.00063477,0.000238384,3.567229167,1.477653741,19.7138125,4.73793287,11.58152083,4.153170319,2.994447917,3.856076096,0,0,0,0
8,0.1005,96000,81226,10.49798958,2.834950546,0.000635904,0.000228161,3.575802083,1.479683991,19.76979167,4.744037831,11.63827083,4.167147951,3.024322917,3.891525788,0,0,0,0
8,0.101,96000,81058,10.53610417,2.822043036,0.000638206,0.00023661,3.580354167,1.47922028,19.84754167,4.72247349,11.68625,4.160963899,3.02971875,3.867660695,0,0,0,0
8,0.1015,96000,80860,10.57682292,2.837314326,0.000641896,0.000240412,3.593135417,1.475524081,19.90932292,4.74803923,11.751875,4.183151518,3.079135417,3.927943677,0,0,0,0
