L,p,N,succes,weight_m,weight_v,time_m,time_v,gbu_m,gbu_v,gbo_m,gbo_v,ufu_m,ufu_v,uff_m,uff_v,mac_m,mac_v,ctd_m,ctd_v
8,0.096000,96000.0,72557.0,11.840895833333338,3.1631605760391976,0.0005662711349375002,0.00021614672871271302,2.1599999999999997,0.6926093038924637,21.882895833333343,4.952084393254739,15.153489583333334,4.848506436055385,6.61046875,6.809419778254737,0.0,0.0,0.0,0.0
8,0.096500,96000.0,72244.0,11.890427083333334,3.1732839642248125,0.0005696328646354169,0.0002075267330589308,2.164322916666667,0.6960325175163103,21.96264583333333,4.9591292475716555,15.222645833333333,4.8594757860917115,6.663125,6.829602035474463,0.0,0.0,0.0,0.0
8,0.097000,96000.0,71933.0,11.93821875,3.157668875259018,0.0005716164028854169,0.0002137331845968879,2.1673437499999997,0.6941763830597156,22.0360625,4.929428988778927,15.301927083333334,4.849786418177338,6.746875,6.915237519431244,0.0,0.0,0.0,0.0
8,0.097500,96000.0,71671.0,11.995000000000003,3.1531704639762195,0.0005760738294583335,0.00021903022307483854,2.1713020833333334,0.6921163922159279,22.129562500000006,4.915524999082995,15.385666666666667,4.84641801589244,6.8051875,6.889265337361036,0.0,0.0,0.0,0.0
8,0.098000,96000.0,71074.0,12.047239583333333,3.1664554017150075,0.0005793197233645832,0.00021789570828201435,2.178104166666666,0.6901680228418988,22.208145833333333,4.930888669313259,15.442447916666667,4.862727579564536,6.839208333333334,6.923511609288654,0.0,0.0,0.0,0.0
8,0.098500,96000.0,70999.0,12.107114583333336,3.168299987240662,0.0005828921190729169,0.00021735770385476112,2.176447916666666,0.6870827788130927,22.316687500000004,4.926616760569745,15.547552083333333,4.863839279435764,6.940052083333334,7.0114081898456595,0.0,0.0,0.0,0.0
8,0.099000,96000.0,70490.0,12.146510416666667,3.1514988833580615,0.0005851606049374999,0.00022507449217131818,2.1812812499999987,0.6913474756865965,22.37791666666667,4.8850066742024785,15.608645833333334,4.841160373333585,7.020302083333335,7.059998803022485,0.0,0.0,0.0,0.0
8,0.099500,96000.0,70190.0,12.204395833333333,3.165484658041042,0.000586241846697917,0.00021396752724686503,2.185604166666667,0.6920195578080861,22.458541666666665,4.901667908751465,15.688114583333334,4.867450678502467,7.08896875,7.090901310123365,0.0,0.0,0.0,0.0
8,0.100000,96000.0,69614.0,12.25017708333333,3.1564954731985697,0.0005891319256145836,0.00021739829058023752,2.1866250000000007,0.6890965370307218,22.540145833333334,4.8880793424708555,15.765072916666666,4.858630799261857,7.117541666666667,7.059974714804701,0.0,0.0,0.0,0.0
16,0.096000,96000.0,73519.0,47.95571874999999,6.6435917878776705,0.002598314901760417,0.0036426961535370563,3.1421145833333335,0.7795311308632804,88.23641666666668,9.932296430887035,63.56822916666667,10.741613884487402,34.32476041666667,18.695465624524303,0.0,0.0,0.0,0.0
16,0.096500,96000.0,72936.0,48.182104166666676,6.692863250366276,0.0026133467524062487,0.003624133359441548,3.145916666666666,0.776873065610269,88.54387500000001,10.001863990238192,63.88191666666667,10.757442194259681,34.69440625000001,18.781997273145294,0.0,0.0,0.0,0.0
16,0.097000,96000.0,72531.0,48.36963541666667,6.63886788660466,0.002625249635375001,0.003617989759497691,3.1528124999999996,0.775330383674332,88.86400000000002,9.928231649445895,64.19003124999996,10.743352245912355,35.033020833333325,18.879038278532267,0.0,0.0,0.0,0.0
16,0.097500,96000.0,72018.0,48.63127083333333,6.6630605213708245,0.002641519692499999,0.003633694668763574,3.1577291666666665,0.7775329780852508,89.24583333333334,9.91211857771803,64.5937708333333,10.733850550058413,35.568489583333346,18.969532824817158,0.0,0.0,0.0,0.0
16,0.098000,96000.0,71193.0,48.85584375000001,6.660197089902961,0.002655449904552081,0.0036007159851923825,3.1643333333333334,0.7705382280919064,89.58585416666662,9.871745004612377,64.93089583333332,10.730523359277257,35.92158333333333,18.960145244271587,0.0,0.0,0.0,0.0
16,0.098500,96000.0,70628.0,49.04808333333333,6.701277416513238,0.0026682046875625,0.0036280859515799573,3.1668333333333334,0.7745157243288316,89.867625,9.923189271449042,65.2248020833333,10.813304885722204,36.264458333333316,19.219348078558337,0.0,0.0,0.0,0.0
16,0.099000,96000.0,70086.0,49.28408333333332,6.668615058529611,0.002680680501770832,0.003634097519203988,3.1701979166666665,0.7739803936063248,90.238375,9.866244216103919,65.56918750000001,10.739724102160237,36.70090625,19.26173914760105,0.0,0.0,0.0,0.0
16,0.099500,96000.0,69359.0,49.4763125,6.663812101222654,0.002693590216885417,0.0036201238067289573,3.17225,0.7693492892795405,90.52716666666664,9.81516376417362,65.89952083333334,10.69525857402231,37.06533333333331,19.25143849791498,0.0,0.0,0.0,0.0
16,0.100000,96000.0,68862.0,49.747625,6.6673427814055115,0.002708260018145833,0.0036330227983061435,3.174729166666667,0.7666709766746433,90.93927083333334,9.797096561423517,66.31306249999999,10.716717473317878,37.53849999999999,19.431033988045964,0.0,0.0,0.0,0.0
24,0.096000,96000.0,74112.0,108.13319791666666,10.200773028935695,0.007022153565281254,0.011318310508755225,3.777645833333333,0.8182954487416917,198.76070833333333,15.059930049314136,144.85036458333335,16.95362348979881,84.33485416666666,33.69979568140422,0.0,0.0,0.0,0.0
24,0.096500,96000.0,73378.0,108.69083333333333,10.240594890551598,0.007019805425885418,0.010845505101007702,3.7817291666666666,0.8137680883012871,199.60287499999995,15.048794113721163,145.70057291666666,16.885648024882304,85.5186666666667,33.6683408014538,0.0,0.0,0.0,0.0
24,0.097000,96000.0,72976.0,109.14218750000002,10.208671583596818,0.007053219952187501,0.01082759672534266,3.78315625,0.8102978560487581,200.30402083333328,14.971971632361603,146.4408229166666,16.799827800186936,86.3978333333333,33.604692108981986,0.0,0.0,0.0,0.0
24,0.097500,96000.0,71949.0,109.7186875,10.259072714514566,0.007102365257499998,0.011007678653891583,3.79028125,0.8092544941541265,201.17535416666666,14.99116824776758,147.32029166666672,16.95727924383915,87.47762500000002,33.984278956587104,0.0,0.0,0.0,0.0
24,0.098000,96000.0,71375.0,110.26269791666667,10.262518402043566,0.0071221280523125,0.010793741742678265,3.794864583333333,0.8100939442642898,201.94497916666666,14.942248898944168,148.11147916666664,16.890934004130926,88.7733333333333,34.05487906181498,0.0,0.0,0.0,0.0
24,0.098500,96000.0,70524.0,110.75648958333333,10.292462094091736,0.0071675134698541655,0.010912163992941903,3.79725,0.8031225979688661,202.70666666666668,14.972804016486448,148.91567708333343,16.96237828341796,89.78136458333337,34.48224170550917,0.0,0.0,0.0,0.0
24,0.099000,96000.0,69688.0,111.20126041666667,10.309502582896453,0.007188915492510418,0.010779562298722335,3.801322916666667,0.8014849230606576,203.31810416666676,14.999145237825777,149.5834166666666,16.944588186895317,90.67877083333332,34.50663628622086,0.0,0.0,0.0,0.0
24,0.099500,96000.0,68823.0,111.72528125,10.23773249511055,0.007240024512135417,0.011014549609882261,3.8056770833333333,0.8012163632355981,204.1219375,14.815207967845536,150.3960937500001,16.815849334664566,91.80119791666668,34.43079313384395,0.0,0.0,0.0,0.0
